JOB TITLE,COMPANY,LOCATION,SALARY,LINK
Senior / AWS DevOps Engineer - Project focused,AC3 PTY LIMITED,Auckland,$110K- $150K/annum depending on experience,https://www.seek.co.nz/job/53965659
DevOps Engineer,LOTTO NZ,Auckland,No salary info provided,https://www.seek.co.nz/job/53899438
Senior DevOps Engineer,EDUCATION PERFECT LTD,Wellington,"$100,000 - $139,999",https://www.seek.co.nz/job/53896594
Senior DevOps Engineer,NETYOURJOB,Auckland,No salary info provided,https://www.seek.co.nz/job/53884733
Principal Site Reliability Engineer (DevOps Engineer),SERKO LIMITED,Auckland,No salary info provided,https://www.seek.co.nz/job/53896357
DevOps Engineer - REMOTE!,TALENT – WINNER SEEK LARGE RECRUITMENT AGENCY OF THE YEAR 2019,Auckland,Very competitive!,https://www.seek.co.nz/job/53847325
Senior DevOps Engineer,XE,Auckland,No salary info provided,https://www.seek.co.nz/job/53854096
Lead SRE/ DevOps Engineer,SALT,Auckland,Top salary and excellent benefits,https://www.seek.co.nz/job/53824282
Senior AWS DevOps Engineer,ABSOLUTE IT LIMITED,Auckland,NZD140000 per annum,https://www.seek.co.nz/job/53799201
CONTRACT DevOps Engineer (Azure),SUNSTONE TALENT,Canterbury,$100-$120 per hour 12 month contract,https://www.seek.co.nz/job/53755568
Cloud DevOps Engineer,NTT,Wellington,No salary info provided,https://www.seek.co.nz/job/53727024
Senior DevOps Engineer,CORETEX,Auckland,No salary info provided,https://www.seek.co.nz/job/53686367
DevOps Engineer (Senior & Intermediate),SALT,Auckland,$120000.00 - $150000.00 p.a.,https://www.seek.co.nz/job/53677702
Senior DevOps Engineer,THE WAREHOUSE GROUP,Auckland,No salary info provided,https://www.seek.co.nz/job/53683519
DevOps Engineer,TALENT – WINNER SEEK LARGE RECRUITMENT AGENCY OF THE YEAR 2019,Auckland,"Up to $140,000 DOE",https://www.seek.co.nz/job/53643465
DevOps Engineer,BEYOND RECRUITMENT - WINNER - BEST INNOVATION -2018 GLOBAL RECRUITER AWARDS,Wellington,No salary info provided,https://www.seek.co.nz/job/53618739
Senior DevOps Engineer,TECHSPACE CONSULTING LIMITED,Auckland,"$130,000-$155,000 + benefits",https://www.seek.co.nz/job/53634151
DevOps Engineer,SERVIAN PTY LTD,Auckland,No salary info provided,https://www.seek.co.nz/job/53637999
Associate DevOps Engineer & Experienced DevOps Engineer- AWS - Project focused,AC3 PTY LIMITED,Auckland,$80K- $130K + overtime (varies with seniority),https://www.seek.co.nz/job/53592231
DevOps Engineer - AWS & JavaScript,MYOB,Auckland,No salary info provided,https://www.seek.co.nz/job/53613096
Senior DevOps Engineer,DATACOM,Wellington,No salary info provided,https://www.seek.co.nz/job/53572906
DevOps Engineer- flexible working options,ADERANT,Auckland,No salary info provided,https://www.seek.co.nz/job/52617296
